LTG_ID,LTG_START,LTG_ZIEL,WIDERSTAND_R_SUM_OHM,REAKTANZ_X_SUM_OHM,NENNSTROM_MIN_A,ERSCHL_STROM_SUM_A,LAENGE_SUM_KM,BAUJAHR_MIN,QUERSCHNITT_MIN_MM2
NP73,UW-011339,SA-011335,0.2814,0.2522,417,7.4448,2.2560,1989,240
NP74,SA-011335,SA-013842,3.2610,1.8634,285,41.7321,15.2960,1983,120
NP75,SA-009627,SA-011335,2.5520,1.4983,319,34.2278,12.4020,1989,150
NP76,SA-011335,SA-009627,2.8928,1.6832,285,38.1874,13.8890,1984,120
NP77,SA-011335,SA-012063,2.9026,1.7047,319,38.9311,14.1050,1991,150
NP78,SA-011335,SA-012063,2.6978,1.5268,285,33.9969,12.5115,1979,120
NP81,SA-011336,SA-021091,1.0518,0.5912,285,13.0818,4.8300,1987,120
NP82,UW-011339,SA-011336,3.5449,1.9991,285,44.3787,16.3580,1985,120
NP83,UW-011339,ON-006573,1.1804,0.6800,285,15.3345,5.6000,1985,120
NR0A,UW-100169,ON-001709,0.0205,0.0121,319,0.2760,0.1000,,150
NR0B,UW-100169,ON-001710,0.0205,0.0121,319,0.2760,0.1000,,150
NR0C,UW-100169,ON-001711,0.0205,0.0121,319,0.2760,0.1000,,150
NT01,UW-007179,ON-000536,0.7564,0.6772,417,19.9881,6.0570,1987,240
NT02,UW-007179,SA-019692,3.9443,2.2070,285,48.7073,18.0177,1984,120
NT03,UW-007179,ON-000396,0.6260,0.5607,417,16.5429,5.0130,1993,240
NT04,UW-007179,ON-000396,0.6167,0.5522,417,16.2954,4.9380,1993,240
NT0A,UW-007179,ON-024214,0.0990,0.1079,471,3.5343,0.9900,2002,300
NT12,UW-007179,SA-016479,0.9519,0.5071,285,10.7784,4.0810,1984,120
NT13,UW-007179,SA-016479,0.5206,0.4427,319,12.7725,3.9310,1986,150
NT21,SA-016479,SA-012094,3.1110,1.2150,136,23.5917,8.6810,1961,150
NT22,SA-016479,SA-012094,2.1091,1.0977,222,24.9398,8.4360,1972,150
NT23,UW-007179,SA-020164,3.5702,1.9773,243,38.9378,15.4980,1976,70
NT25,SA-012094,SA-020164,0.5846,0.3428,319,7.8457,2.8430,1990,150
NT26,SA-012094,SA-020164,0.5267,0.3087,319,7.0677,2.5610,1990,150
NT27,SA-012094,ON-002554,0.2435,0.0715,172,1.6830,0.5500,1965,70
NT32,SA-021707,SA-003229,2.2547,0.9644,172,22.1257,7.3630,1971,70
NT34,UW-007179,SA-003229,3.6208,1.9153,243,36.6060,14.8480,1979,70
NT35,UW-007179,SA-003229,3.0323,1.6686,243,32.2116,12.9850,1984,70
NT41,UW-007179,SA-021707,2.2065,1.1387,285,23.5391,9.0630,1983,120
NT42,UW-007179,SA-021707,1.4744,1.3204,417,38.9631,11.8070,1993,240
NT43,UW-007179,SA-021707,2.6808,1.5025,285,33.1827,12.2670,1982,120
NT52,SA-014340,UW-007179,2.9278,1.9987,285,51.3355,17.0590,1982,120
NT66,SA-021121,SA-014340,2.7924,1.5532,285,34.1101,12.6530,1986,120
NU34,SA-014345,ON-018281,1.4488,0.7495,285,15.5224,5.9690,1983,120
NU35,SA-014345,SA-014340,1.9445,0.9757,285,19.6600,7.6890,1983,120
NU36,SA-014345,ON-017428,0.1766,0.0886,285,1.7872,0.6990,1984,120
NU43,SA-014345,SA-016363,2.0138,1.1505,285,25.7766,9.4480,1984,120
NV0A,UW-022262,ON-024216,0.0858,0.1100,535,4.2900,1.1000,2007,400
NV0B,UW-022262,ON-024215,0.0549,0.0847,609,3.9688,0.9020,2007,500
NW0A,UW-021300,ON-024184,0.0020,0.0012,319,0.0276,0.0100,2010,150
NW0B,UW-021300,ON-024185,0.0020,0.0012,319,0.0276,0.0100,2010,150
NW0C,UW-021300,ON-024320,0.0844,0.0505,319,1.1727,0.4200,2007,150
NY01,UW-006010,SA-021604,1.8688,1.0976,319,25.0519,9.0770,1989,150
NY0A,SA-021872,UW-006010,0.5589,0.5006,417,14.7774,4.4780,1997,240
NY0B,UW-006010,SA-021872,0.8175,0.7323,417,21.6084,6.5480,1997,240
NY0C,UW-006010,SA-021872,0.2762,0.3545,535,13.8255,3.5450,2004,400
NY0D,SA-021872,ON-021637,0.4421,0.3961,417,11.6985,3.5450,1997,240
NY0E,UW-006010,ON-003795,0.0001,0.0001,417,0.0033,0.0010,,240
NY0F,UW-006010,ON-000562,0.0001,0.0001,417,0.0033,0.0010,,240
NY0X,UW-006010,ON-000562,0.0002,0.0001,319,0.0027,0.0010,,150
NY11,SA-021604,UW-006010,1.2641,1.1319,417,33.3993,10.1210,1999,240
NY12,SA-021604,SA-009537,1.1735,1.0515,417,31.0167,9.3990,1989,240
NY21,UW-006010,SA-019766,4.0126,2.3624,319,54.0516,19.5530,1990,150
NY22,UW-006010,SA-019766,3.3354,1.9653,319,44.9858,16.2670,1990,150
NY23,SA-019766,SA-009537,0.6824,0.4007,319,9.1464,3.3140,2004,150
NY2A,SA-019766,ON-001028,0.1853,0.1098,319,2.4875,0.9000,,150
NZ0A,UW-010601,ON-024207,0.0115,0.0178,609,0.8360,0.1900,2003,500
NZ0B,UW-010601,ON-024507,0.2586,0.2316,417,6.8310,2.0700,2003,240
NZ0C,UW-010601,ON-024209,0.3616,0.3239,417,9.5535,2.8950,1993,240
NZ0D,UW-010601,ON-024257,0.9606,0.5068,285,10.7272,4.0500,2004,120
